{'loss': 0.7895, 'learning_rate': 3.6214813877388683e-05, 'epoch': 0.92}
{'loss': 0.787, 'learning_rate': 3.610182054851482e-05, 'epoch': 0.93}
{'loss': 0.7854, 'learning_rate': 3.598882721964095e-05, 'epoch': 0.93}
{'loss': 0.7918, 'learning_rate': 3.587583389076709e-05, 'epoch': 0.94}
{'loss': 0.7827, 'learning_rate': 3.576284056189323e-05, 'epoch': 0.95}
{'loss': 0.7914, 'learning_rate': 3.564984723301936e-05, 'epoch': 0.95}
{'loss': 0.7846, 'learning_rate': 3.55368539041455e-05, 'epoch': 0.96}
{'loss': 0.7815, 'learning_rate': 3.542386057527164e-05, 'epoch': 0.97}
{'loss': 0.7812, 'learning_rate': 3.531086724639777e-05, 'epoch': 0.97}
{'loss': 0.7843, 'learning_rate': 3.5197873917523913e-05, 'epoch': 0.98}
{'loss': 0.7846, 'learning_rate': 3.508488058865005e-05, 'epoch': 0.99}
{'loss': 0.7818, 'learning_rate': 3.497188725977619e-05, 'epoch': 0.99}
{'loss': 0.7798, 'learning_rate': 3.485889393090232e-05, 'epoch': 1.0}
{'loss': 0.7814, 'learning_rate': 3.474590060202846e-05, 'epoch': 1.01}
{'loss': 0.7792, 'learning_rate': 3.46329072731546e-05, 'epoch': 1.01}
{'loss': 0.7804, 'learning_rate': 3.451991394428073e-05, 'epoch': 1.02}
{'loss': 0.7811, 'learning_rate': 3.440692061540687e-05, 'epoch': 1.02}
{'loss': 0.7772, 'learning_rate': 3.4293927286533005e-05, 'epoch': 1.03}
{'loss': 0.7721, 'learning_rate': 3.418093395765914e-05, 'epoch': 1.04}
{'loss': 0.7743, 'learning_rate': 3.4067940628785275e-05, 'epoch': 1.04}
{'loss': 0.7747, 'learning_rate': 3.395494729991141e-05, 'epoch': 1.05}
{'loss': 0.7765, 'learning_rate': 3.384195397103755e-05, 'epoch': 1.06}
{'loss': 0.7758, 'learning_rate': 3.372896064216369e-05, 'epoch': 1.06}
{'loss': 0.7737, 'learning_rate': 3.361596731328983e-05, 'epoch': 1.07}
{'loss': 0.7766, 'learning_rate': 3.3502973984415966e-05, 'epoch': 1.08}
{'loss': 0.7731, 'learning_rate': 3.33899806555421e-05, 'epoch': 1.08}
{'loss': 0.7769, 'learning_rate': 3.3276987326668235e-05, 'epoch': 1.09}
{'loss': 0.7697, 'learning_rate': 3.3163993997794374e-05, 'epoch': 1.1}
{'loss': 0.7723, 'learning_rate': 3.3051000668920505e-05, 'epoch': 1.1}
{'loss': 0.7725, 'learning_rate': 3.293800734004664e-05, 'epoch': 1.11}
{'loss': 0.7679, 'learning_rate': 3.282501401117278e-05, 'epoch': 1.12}
{'loss': 0.77, 'learning_rate': 3.271202068229892e-05, 'epoch': 1.12}
{'loss': 0.768, 'learning_rate': 3.259902735342506e-05, 'epoch': 1.13}
{'loss': 0.7739, 'learning_rate': 3.2486034024551196e-05, 'epoch': 1.14}
{'loss': 0.7658, 'learning_rate': 3.2373040695677334e-05, 'epoch': 1.14}
{'loss': 0.7685, 'learning_rate': 3.2260047366803465e-05, 'epoch': 1.15}
{'loss': 0.7641, 'learning_rate': 3.2147054037929604e-05, 'epoch': 1.15}
{'loss': 0.7667, 'learning_rate': 3.203406070905574e-05, 'epoch': 1.16}
{'loss': 0.7647, 'learning_rate': 3.192106738018187e-05, 'epoch': 1.17}
{'loss': 0.7679, 'learning_rate': 3.180807405130801e-05, 'epoch': 1.17}
{'loss': 0.7636, 'learning_rate': 3.169508072243415e-05, 'epoch': 1.18}
{'loss': 0.769, 'learning_rate': 3.158208739356028e-05, 'epoch': 1.19}
{'loss': 0.7642, 'learning_rate': 3.146909406468642e-05, 'epoch': 1.19}
{'loss': 0.7584, 'learning_rate': 3.135610073581256e-05, 'epoch': 1.2}
{'loss': 0.7616, 'learning_rate': 3.1243107406938695e-05, 'epoch': 1.21}
{'loss': 0.765, 'learning_rate': 3.1130114078064834e-05, 'epoch': 1.21}
{'loss': 0.7612, 'learning_rate': 3.101712074919097e-05, 'epoch': 1.22}
{'loss': 0.7613, 'learning_rate': 3.090412742031711e-05, 'epoch': 1.23}
{'loss': 0.7626, 'learning_rate': 3.079113409144324e-05, 'epoch': 1.23}
{'loss': 0.7646, 'learning_rate': 3.067814076256938e-05, 'epoch': 1.24}
{'loss': 0.7595, 'learning_rate': 3.056514743369552e-05, 'epoch': 1.25}
{'loss': 0.7601, 'learning_rate': 3.0452154104821652e-05, 'epoch': 1.25}
{'loss': 0.7605, 'learning_rate': 3.033916077594779e-05, 'epoch': 1.26}
{'loss': 0.7581, 'learning_rate': 3.022616744707393e-05, 'epoch': 1.26}
{'loss': 0.7568, 'learning_rate': 3.011317411820006e-05, 'epoch': 1.27}
{'loss': 0.757, 'learning_rate': 3.00001807893262e-05, 'epoch': 1.28}
{'loss': 0.7576, 'learning_rate': 2.9887187460452337e-05, 'epoch': 1.28}
{'loss': 0.7552, 'learning_rate': 2.9774194131578475e-05, 'epoch': 1.29}
{'loss': 0.7557, 'learning_rate': 2.966120080270461e-05, 'epoch': 1.3}
{'loss': 0.7559, 'learning_rate': 2.9548207473830748e-05, 'epoch': 1.3}
{'loss': 0.7548, 'learning_rate': 2.9435214144956886e-05, 'epoch': 1.31}
{'loss': 0.7588, 'learning_rate': 2.9322220816083017e-05, 'epoch': 1.32}
{'loss': 0.7536, 'learning_rate': 2.9209227487209155e-05, 'epoch': 1.32}
{'loss': 0.756, 'learning_rate': 2.9096234158335294e-05, 'epoch': 1.33}
{'loss': 0.758, 'learning_rate': 2.898324082946143e-05, 'epoch': 1.34}
{'loss': 0.7511, 'learning_rate': 2.8870247500587567e-05, 'epoch': 1.34}
{'loss': 0.755, 'learning_rate': 2.8757254171713705e-05, 'epoch': 1.35}
{'loss': 0.7506, 'learning_rate': 2.8644260842839836e-05, 'epoch': 1.36}
{'loss': 0.7515, 'learning_rate': 2.8531267513965974e-05, 'epoch': 1.36}
{'loss': 0.7507, 'learning_rate': 2.8418274185092116e-05, 'epoch': 1.37}
{'loss': 0.7533, 'learning_rate': 2.8305280856218254e-05, 'epoch': 1.38}
{'loss': 0.749, 'learning_rate': 2.8192287527344385e-05, 'epoch': 1.38}
{'loss': 0.7527, 'learning_rate': 2.8079294198470524e-05, 'epoch': 1.39}
{'loss': 0.7513, 'learning_rate': 2.7966300869596662e-05, 'epoch': 1.39}
{'loss': 0.7476, 'learning_rate': 2.7853307540722797e-05, 'epoch': 1.4}
{'loss': 0.744, 'learning_rate': 2.7740314211848935e-05, 'epoch': 1.41}
{'loss': 0.7515, 'learning_rate': 2.7627320882975073e-05, 'epoch': 1.41}
{'loss': 0.7487, 'learning_rate': 2.7514327554101204e-05, 'epoch': 1.42}
{'loss': 0.7479, 'learning_rate': 2.7401334225227342e-05, 'epoch': 1.43}
{'loss': 0.7533, 'learning_rate': 2.728834089635348e-05, 'epoch': 1.43}
{'loss': 0.7459, 'learning_rate': 2.717534756747962e-05, 'epoch': 1.44}
{'loss': 0.7451, 'learning_rate': 2.7062354238605754e-05, 'epoch': 1.45}
{'loss': 0.7446, 'learning_rate': 2.6949360909731892e-05, 'epoch': 1.45}
{'loss': 0.7462, 'learning_rate': 2.683636758085803e-05, 'epoch': 1.46}
{'loss': 0.7452, 'learning_rate': 2.672337425198416e-05, 'epoch': 1.47}
{'loss': 0.7449, 'learning_rate': 2.66103809231103e-05, 'epoch': 1.47}
{'loss': 0.741, 'learning_rate': 2.6497387594236438e-05, 'epoch': 1.48}
{'loss': 0.7425, 'learning_rate': 2.6384394265362572e-05, 'epoch': 1.49}
{'loss': 0.7435, 'learning_rate': 2.627140093648871e-05, 'epoch': 1.49}
{'loss': 0.745, 'learning_rate': 2.615840760761485e-05, 'epoch': 1.5}
{'loss': 0.7403, 'learning_rate': 2.604541427874098e-05, 'epoch': 1.5}
{'loss': 0.7418, 'learning_rate': 2.593242094986712e-05, 'epoch': 1.51}
{'loss': 0.7421, 'learning_rate': 2.581942762099326e-05, 'epoch': 1.52}
{'loss': 0.742, 'learning_rate': 2.5706434292119398e-05, 'epoch': 1.52}
{'loss': 0.7423, 'learning_rate': 2.559344096324553e-05, 'epoch': 1.53}
{'loss': 0.7424, 'learning_rate': 2.5480447634371668e-05, 'epoch': 1.54}
{'loss': 0.7442, 'learning_rate': 2.5367454305497806e-05, 'epoch': 1.54}
{'loss': 0.7366, 'learning_rate': 2.525446097662394e-05, 'epoch': 1.55}
{'loss': 0.7381, 'learning_rate': 2.514146764775008e-05, 'epoch': 1.56}
{'loss': 0.742, 'learning_rate': 2.5028474318876217e-05, 'epoch': 1.56}
{'loss': 0.7401, 'learning_rate': 2.4915480990002352e-05, 'epoch': 1.57}
{'loss': 0.7384, 'learning_rate': 2.4802487661128487e-05, 'epoch': 1.58}
{'loss': 0.7427, 'learning_rate': 2.4689494332254625e-05, 'epoch': 1.58}
{'loss': 0.7359, 'learning_rate': 2.4576501003380763e-05, 'epoch': 1.59}
{'loss': 0.7392, 'learning_rate': 2.4463507674506898e-05, 'epoch': 1.6}
{'loss': 0.735, 'learning_rate': 2.4350514345633036e-05, 'epoch': 1.6}
{'loss': 0.7367, 'learning_rate': 2.423752101675917e-05, 'epoch': 1.61}
{'loss': 0.7378, 'learning_rate': 2.412452768788531e-05, 'epoch': 1.62}
{'loss': 0.736, 'learning_rate': 2.4011534359011444e-05, 'epoch': 1.62}
{'loss': 0.736, 'learning_rate': 2.3898541030137582e-05, 'epoch': 1.63}
{'loss': 0.7342, 'learning_rate': 2.378554770126372e-05, 'epoch': 1.63}
{'loss': 0.7359, 'learning_rate': 2.3672554372389855e-05, 'epoch': 1.64}
{'loss': 0.7339, 'learning_rate': 2.3559561043515993e-05, 'epoch': 1.65}
{'loss': 0.7363, 'learning_rate': 2.3446567714642128e-05, 'epoch': 1.65}
{'loss': 0.7373, 'learning_rate': 2.3333574385768266e-05, 'epoch': 1.66}
{'loss': 0.7331, 'learning_rate': 2.3220581056894404e-05, 'epoch': 1.67}
{'loss': 0.7335, 'learning_rate': 2.310758772802054e-05, 'epoch': 1.67}
{'loss': 0.7346, 'learning_rate': 2.2994594399146677e-05, 'epoch': 1.68}
{'loss': 0.728, 'learning_rate': 2.2881601070272812e-05, 'epoch': 1.69}
{'loss': 0.739, 'learning_rate': 2.2768607741398947e-05, 'epoch': 1.69}
{'loss': 0.7323, 'learning_rate': 2.2655614412525085e-05, 'epoch': 1.7}
{'loss': 0.7341, 'learning_rate': 2.2542621083651223e-05, 'epoch': 1.71}
{'loss': 0.7313, 'learning_rate': 2.242962775477736e-05, 'epoch': 1.71}
{'loss': 0.7323, 'learning_rate': 2.2316634425903496e-05, 'epoch': 1.72}
{'loss': 0.7321, 'learning_rate': 2.220364109702963e-05, 'epoch': 1.73}
