{'loss': 12.8096, 'learning_rate': 2.5e-05, 'epoch': 0.01}
{'loss': 2.6171, 'learning_rate': 0.00020773631606443933, 'epoch': 1.8}
{'loss': 2.6052, 'learning_rate': 0.00020666575311962043, 'epoch': 1.81}
{'loss': 2.6146, 'learning_rate': 0.0002055951901748015, 'epoch': 1.82}
{'loss': 2.609, 'learning_rate': 0.00020452462722998262, 'epoch': 1.82}
{'loss': 2.6109, 'learning_rate': 0.00020345406428516372, 'epoch': 1.83}
{'loss': 2.607, 'learning_rate': 0.0002023835013403448, 'epoch': 1.84}
{'loss': 2.6099, 'learning_rate': 0.00020131293839552593, 'epoch': 1.84}
{'loss': 2.61, 'learning_rate': 0.000200242375450707, 'epoch': 1.85}
{'loss': 2.6088, 'learning_rate': 0.00019917181250588809, 'epoch': 1.85}
{'loss': 2.6102, 'learning_rate': 0.0001981012495610692, 'epoch': 1.86}
{'loss': 2.6099, 'learning_rate': 0.0001970306866162503, 'epoch': 1.87}
{'loss': 2.6061, 'learning_rate': 0.0001959601236714314, 'epoch': 1.87}
{'loss': 2.6096, 'learning_rate': 0.00019488956072661248, 'epoch': 1.88}
{'loss': 2.5963, 'learning_rate': 0.00019381899778179358, 'epoch': 1.88}
{'loss': 2.61, 'learning_rate': 0.0001927484348369747, 'epoch': 1.89}
{'loss': 2.6048, 'learning_rate': 0.00019167787189215577, 'epoch': 1.9}
{'loss': 2.6065, 'learning_rate': 0.00019060730894733687, 'epoch': 1.9}
{'loss': 2.6083, 'learning_rate': 0.00018953674600251797, 'epoch': 1.91}
{'loss': 2.6105, 'learning_rate': 0.00018846618305769905, 'epoch': 1.92}
{'loss': 2.6085, 'learning_rate': 0.00018739562011288016, 'epoch': 1.92}
{'loss': 2.6079, 'learning_rate': 0.00018632505716806126, 'epoch': 1.93}
{'loss': 2.5999, 'learning_rate': 0.00018525449422324237, 'epoch': 1.93}
{'loss': 2.6083, 'learning_rate': 0.00018418393127842344, 'epoch': 1.94}
{'loss': 2.6058, 'learning_rate': 0.00018311336833360452, 'epoch': 1.95}
{'loss': 2.6043, 'learning_rate': 0.00018204280538878565, 'epoch': 1.95}
{'loss': 2.5988, 'learning_rate': 0.00018097224244396673, 'epoch': 1.96}
{'loss': 2.6033, 'learning_rate': 0.00017990167949914784, 'epoch': 1.96}
{'loss': 2.6017, 'learning_rate': 0.00017883111655432894, 'epoch': 1.97}
{'loss': 2.6056, 'learning_rate': 0.00017776055360951002, 'epoch': 1.98}
{'loss': 2.607, 'learning_rate': 0.00017668999066469112, 'epoch': 1.98}
{'loss': 2.5986, 'learning_rate': 0.0001756194277198722, 'epoch': 1.99}
{'loss': 2.6079, 'learning_rate': 0.00017454886477505333, 'epoch': 2.0}
{'loss': 2.6062, 'learning_rate': 0.0001734783018302344, 'epoch': 2.0}
{'loss': 2.6045, 'learning_rate': 0.0001724077388854155, 'epoch': 2.01}
{'loss': 2.601, 'learning_rate': 0.00017133717594059662, 'epoch': 2.01}
{'loss': 2.606, 'learning_rate': 0.0001702666129957777, 'epoch': 2.02}
{'loss': 2.6025, 'learning_rate': 0.0001691960500509588, 'epoch': 2.03}
{'loss': 2.5994, 'learning_rate': 0.0001681254871061399, 'epoch': 2.03}
{'loss': 2.6012, 'learning_rate': 0.000167054924161321, 'epoch': 2.04}
